# generated  : 2026-08-12T04:52:27Z
# generator  : 92_preprocessing_table.py @ 11e9846
# source dir : results/preprocessing
"# artefacts  : 6 CURRENT, 0 skipped"
#   source   : 2026-08-11T09-36-58Z__k562.json   meta.git_commit=9f2b1d5
#   source   : 2026-08-11T09-37-10Z__rpe1.json   meta.git_commit=9f2b1d5
#   source   : 2026-08-11T09-39-00Z__norman.json   meta.git_commit=9f2b1d5
#   source   : 2026-08-11T10-04-17Z__frangieh_coculture.json   meta.git_commit=9f2b1d5
#   source   : 2026-08-11T10-23-05Z__frangieh_control.json   meta.git_commit=9f2b1d5
#   source   : 2026-08-11T10-46-03Z__frangieh_ifng.json   meta.git_commit=9f2b1d5
dataset,n_genes,n_control_used,raw,standardise,rank_int,spread_max_over_min
frangieh_coculture,23712,2000,415.373,1116.87,2.14287,521.202
frangieh_control,23712,2000,419.229,1092.73,2.20315,495.984
frangieh_ifng,23712,2000,435.717,1174.3,1.94517,603.703
k562,1158,2000,455.507,482.537,63.9806,7.542
norman,5000,2000,224.064,560.913,1.44491,388.199
rpe1,651,2000,234.461,326.375,30.8454,10.581

"# DIAGNOSTIC ARM - NOT A PREPROCESSING OPTION, NOT PART OF THE TABLE ABOVE"
dataset,arm,status,value_reported,input_kind,reason
frangieh_coculture,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"
frangieh_control,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"
frangieh_ifng,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"
k562,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"
norman,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"
rpe1,log1p_std,null,none - arm refused,already_transformed,"input is already log-like, so log1p_std would be a double log; emitted as null rather than reported as a preprocessing choice"

"# (a) The 'raw' arm is the control matrix exactly as the loader returns it, which is NOT raw counts. Every one of these matrices is already normalised by an undocumented upstream pipeline (runtime probe: input_kind = already_transformed; see docs/DATA_SOURCES.md). 'raw' records that this sweep applied no further transform, not that the input is untransformed."
"# (b) 'log1p_std' is NOT a preprocessing option for these data and is not a column. Because the input is already log-like, it would be a double log. The sweep refused the arm and recorded no value for it. It appears only in the diagnostic block below, which reports the refusal and its reason."
"# (c) Rank deficiency at the swept cap n_control_used = 2000: frangieh_coculture (p/n = 11.856), frangieh_control (p/n = 11.856), frangieh_ifng (p/n = 11.856), norman (p/n = 2.5). Participation ratio is dominated by the leading eigenvalues and is the estimator intended for comparison across datasets, but where p > n the trailing spectrum is sampling noise and the value is still a sample-size-dependent lower bound. Compare arms within a row; compare rows only at matched n."
